Company,Text_Description,Link
My Support Day,"My Support Day is a charity based within South Lanarkshire which supports families and loved ones who have been affected by someone else’s substance use.

The support is person centered, and individuals are supported via 1:1, support group both face to face and online.

My Support Day are provision holders and distributors of Naloxone. 

We are also also in partnership between Liber8 to deliver the service FREE – Family Recovery Everyone Everywhere. This service is based across South Lanarkshire to access one-to-one support, group support, learning and development and events for the whole family. This service will also offer counselling, mediation and therapeutic services to Individuals using the service which can tailor their support to suit their needs. 

No referrals required to engage with this service. Based in South Lanarkshire, this charity assists families affected by substance abuse, providing support through group activities, one-on-one help, and outreach services, including sports activities to foster community and support.",https://mysupportday.co.uk/
Paul’s Parcels,"Located in Shotts, they support families struggling financially by providing food and other essentials. They also engage in community activities, including sports, to help improve mental well-being and community cohesion.",https://paulsparcels.co.uk/
The Football Mental Health Alliance,"A NETWORK OF PROFESSIONAL FOOTBALL CLUBS AND COUNTY FAS WHO HAVE COME TOGETHER TO EDUCATE AND SUPPORT THE FOOTBALL COMMUNITY WITH THEIR MENTAL HEALTH. TO INGRAIN THE UNDERSTANDING OF MENTAL HEALTH INTO THE FABRIC OF FOOTBALL AT ALL LEVELS. FREE MENTAL HEALTH SUPPORT TOOLS FOR PLAYERS, SPECTATORS, COMMUNITIES, COACHES, MATCH OFFICIALS AND VOLUNTEERS WITHIN GRASSROOTS FOOTBALL. WE'RE WORKING WITH ENGLAND'S COUNTY FAS TO BUILD MENTAL HEALTH IN THE GRASSROOTS GAME. In response to the ongoing mental health crisis fuelled by the events of the last two years and beyond, withinu has launched the Football Mental Health Alliance. In collaboration with forward-thinking football clubs, we believe that individuals regardless of their colour, gender, race, religious persuasion or postcode should have support for their mental health. We are partnering to impact change in the mental health landscape from grassroots upwards. Football clubs are in the strongest possible position to influence fans positively around the education and implementation of mental health awareness and self-care. 1 IN 4 PEOPLE EXPERIENCE MENTAL HEALTH DIFFICULTIES EACH YEAR
AT ANY GIVEN TIME, 1 IN 6 WORKING-AGE ADULTS HAVE SYMPTOMS ASSOCIATED WITH MENTAL ILL HEALTH
MEN AGED 40-49 HAVE THE HIGHEST SUICIDE RATES IN THE UK
HALF OF MENTAL ILL HEALTH STARTS BY AGE 15 AND 75% DEVELOPS BY AGE 18
26.8% OF PEOPLE AGED 16-24 REPORT HAVING HAD SUICIDAL THOUGHTS IN THEIR LIFETIME, A HIGHER PERCENTAGE THAN ANY OTHER AGE GROUP",https://thefmha.com/
Cambridgeshire FA and The Football Mental Health Alliance Partnership,"Supporting The Growth And Development Of Football In Cambridgeshire Since 1884.
Cambridgeshire FA is the not-for-profit, governing body of football in Cambridgeshire. We grow participation, promote diversity and regulate the sport for everyone to enjoy.
With 202 clubs and 20,000 players of all ages and abilities playing in the County, Cambridgeshire FA is proud to support football for all. 
Our role is to grow participation, promote diversity and regulate the game for everyone to enjoy.
Whether you're a player, parent, club official or referee we want to support and continue to improve your football experience in the county.
Our Vision
Your game, your experience, our goal.",https://www.cambridgeshirefa.com/
Sport in Mind,"Sport in Mind ® is an award winning mental health charity (unaffiliated to Mind and not part of the local Mind network) that was formed in Reading, Berkshire in 2010 with a simple mission:
""To improve the lives of people experiencing mental health problems through sport and physical activity""
We are the UK’s leading mental health sports charity and deliver physical activity (sport, walking, dance and movement, gardening and exercise sessions) projects in partnership with the amazing NHS in order to aid recovery, promote mental wellbeing, improve physical health, combat social isolation and empower people to move their lives forward in a positive direction.
We've seen firsthand the positive impact physical activity can have on people's mental health having supported the recovery of thousands of people each year (sporty people and people who say they've never previously liked sport). We believe there's a sport or physical activity out there for everyone and Sport in Mind's aim is to ensure every single person in the country has the opportunity to improve their mental health through a physical activity session they enjoy.
Our Work
Sport in Mind's innovative programmes are delivered in partnership with the NHS and are co-designed by people with personal experience of mental health problems and healthcare professionals. We deliver sessions to support the recovery of people living with mental health problems in the community and inpatient care as we believe that everyone should have the opportunity to take part in sport and physical activity irrespective of how unwell they are. In addition to delivering physical activity programmes to improve the lives of people experiencing mental health problems, Sport in Mind also educates people about mental illness and the benefits of being physically active. Sadly, there are still many common misconceptions about mental illness in society today and we use the power of sport to bring people together to talk about mental health and help change attitudes. Due to the impact our work has had on the communities we operate in, Sport in Mind has gained national and international acclaim. In 2019, our charity received the highest honour a UK charity can be bestow - the Queen's Award for Voluntary Services.",https://www.sportinmind.org/
Mental Health United,"What is Football Therapy?
Remember as a child playing football with your friends down the park? How care free it was? How you’d leave with a huge smile on your face?
This is Football Therapy.
It isn’t a place where you have to talk about your problems (although we are happy to listen), instead we have a group understanding, that everyone has a state of mental health, and that on different days we all need different levels of support.",https://www.mentalhealthunited.co.uk/
England Football Learning,"This platform offers resources and guidance on how football can support mental health and well-being, providing educational tools for clubs to create positive environments that encourage open discussions about mental health.",https://learn.englandfootball.com/
Sport England,"Established by Royal Charter in 1996, we’re determined to give everyone in England the chance to benefit from sport and physical activity. We’re here to invest in sport and physical activity to make it a normal part of life for everyone in England, regardless of who you are.

Because it’s not always a level playing field. Right now, the opportunities to get involved in sport and activity – and reap the rewards of being active – depend too much on your background, your gender, your bank balance and your postcode.

We’re determined to tackle this and unlock the advantages of sport and physical activity for everyone.

This isn’t just about our long-standing purpose of helping more people to enjoy playing sport and being physically active. We believe that by removing existing barriers to sport and activity, we can be part of a bigger picture of work that helps to address many of society’s biggest challenges.

Uniting the Movement is our 10-year strategy for 2021-31 aiming to do just that.

Together, we can change lives for the better in every home, and in every community, right across the country. Being active is not just good for you physically, it has the power to do so much more – it can, for example, help prevent or manage medical conditions, reduce anxiety or stress, improve a person’s confidence or self-esteem, or bring people from diverse backgrounds together. ",https://www.sportengland.org/
AirNav Ireland,"AirNav Ireland provides air traffic management services including: Air Traffic Control, Aeronautical Information and North Atlantic Communications.",
Alcon Laboratories,"Alcon is the global leader in eye care, dedicated to helping people see brilliantly. With an over 75-year heritage, we are the largest eye care device company in the world, with complementary businesses in Surgical and Vision Care. Being a truly global company, we work in 60 countries and serve patients in more than 140 countries. We have a long history of industry firsts, and each year we commit a substantial amount in Research and Development to meet customer needs and patient demands.",
Aldi,"With roots dating back to 1913, ALDI is one of the world’s most successful retailers. We currently employ nearly 4,700 people in Ireland across our 156 stores, two Regional Distribution Centres and National Office. We spent a total of €1.1 billion with our Irish supply base in 2022 and in doing so, added 15 new Irish food and drink producers to our network. We take great pride in working together with our local suppliers to bring quality, affordable products to our customers. People who shop in ALDI know that",
Alexion,"Alexion, the rare disease business unit of AstraZeneca, is a global biopharmaceutical company focused on serving patients and families affected by rare diseases and devastating conditions through the discovery, development and commercialization of life-changing medicines. As a leader in rare diseases for 30 years, Alexion focuses its research efforts on novel molecules and targets in the complement cascade and its development efforts on hematology, nephrology, neurology, metabolic disorders,",
ASL Aviation Holdings,"ASL Aviation Holdings, a global aviation services company with seven airlines based in Europe, South Africa and Asia, is a world leader in ACMI airline operations and both scheduled and charter cargo and passenger services.
 Headquartered in Dublin, Ireland, ASL’s airlines include ASL Airlines Ireland, ASL Airlines Belgium, ASL Airlines France and ASL Airlines United Kingdom in Europe. ASL",
Astellas,"Astellas is a pharmaceutical company that is committed to turning innovative science into medical solutions that bring value and hope to patients worldwide.
 Keeping our focus on addressing unmet medical needs and conducting our business with openness, integrity and a collaborative approach enables us to improve the health of people around the world.",
Avant Money,"Avant Money is a leading provider of mortgages, personal loans and credit cards in Ireland. Headquartered in Carrick-on-Shannon, Co. Leitrim, with a second and growing office in Dublin, it employs almost 300 staff.
 Avant Money was the first financial services company in Ireland to receive Ibec’s KeepWell Mark in 2018 and became the first company in Ireland to be re-accredited",
BioMarin,"BioMarin is a global biopharmaceutical company and world leader in developing and commercialising first or best-in-class therapies for rare genetic diseases. We take pride in going where the science leads us, pioneering breakthrough treatments for debilitating and life-threatening conditions where we can significantly improve upon the current standard of care. Our culture revolves around the ethos that no disease should go untreated, and our people are driven to discover, develop, and commercialise",
Blackrock Clinic,"Blackrock Health, Blackrock Clinic, located in South Dublin is known for its advanced cardiac and orthopaedic care. We offer a range of services in areas such as neurology, oncology, and gastroenterology at our hospital. We also provide state-of-the-art diagnostic and imaging facilities and have over 150 consultants who work at Blackrock Clinic and provide access to the latest medical technologies.",
Boliden Tara Mines,"Guided by Care, Courage and Responsibility we set out towards our vision to be the most climate friendly and respected metal provider in the world. Our purpose is to provide the metals essential to improve society for generations to come. Our values describe how we work together in our daily operations. It brings many different competences and skills together and forms our corporate culture towards a common purpose. Our overall goal is to create profitability and growth in a responsible manner",
Bon Secours Health System,"As Ireland’s largest independent hospital group, Bon Secours Health System is renowned for the quality of its service provision coupled with a rich tradition in healthcare. Bon Secours Health System is a not for profit organisation with its mission centered on providing compassionate, world class medical treatment to all those it serves. With nearly 4,000 staff, 450 leading consultants, Bon Secours treats in excess of 280,000 patients annually in its 5 modern acute hospitals in Cork Galway, Limerick,",
Bord Gáis Energy,"Bord Gáis Energy is a utility that supplies gas and electricity and boiler services to customers in the Republic of Ireland. Bord Gáis Energy has been in operation in some form since 1976 and supplies over 750,000 customers with energy in Ireland. Since mid-2014 Bord Gáis Energy is also part of the global Centrica plc Group. Bord Gáis Energy has offices in Dublin and Cork as well as having boiler service technicians nationwide. Bord Gáis translates as “Gas Board”, although is now a private company",
Bord na Móna,"Bord na Móna is a climate solutions company. We are an Irish, semi-state climate solutions company helping lead Ireland towards a climate neutral future. Bord na Móna provides employment for approximately 1500 people and manages a land holding of over 80,000 hectares. We measure our work on this landbank over long-term timescales. Our ambition is to create the right conditions to store carbon and protect biodiversity, while helping to deliver ongoing sustainable energy security for Ireland.",
Boston Scientific,"Boston Scientific transforms lives through innovative medical solutions that improve the health of patients around the world. As a global medical technology leader for 40 years, we advance science for life by providing a broad range of high performance solutions that address unmet patient needs and reduce the cost of healthcare. Established in Ireland since 1994, today Boston Scientific employs around 6,000 people across three facilities, located in Galway, Clonmel and Cork.",
Breedon Group,"Breedon Group plc is a leading construction materials group in Great Britain and Ireland. It operates two cement plants and an extensive network of quarries, asphalt plants and ready-mixed concrete plants, together with slate production, concrete and clay products manufacturing, contract surfacing and highway maintenance operations. The Group employs approximately 3,500 people and has over 1 billion tonnes of mineral reserves and resources. The Group’s strategy is to continue growing",
Bristol Myers Squibb Cruiserath Biologics,"Bristol Myers Squibb is a leading global biopharma company focused on discovering, developing and delivering innovative medicines for patients with serious diseases in areas including oncology, haematology, immunology, cardiovascular and neuroscience.
 Our employees work every day to transform patients’ lives through science.",
Brown Thomas Arnotts,"Brown Thomas Arnotts are part of the Selfridges Group, which provides leading luxury shopping experiences for millions of customers around the world through iconic, innovative and inspiring retail destinations. In addition to Brown Thomas and Arnotts, the Group consists of Holt Renfrew in Canada, Selfridges in the UK and de Bijenkorf in the Netherlands.",
Carelon,"Carelon Global Solutions, formerly Legato Health Technologies, is born out of one of the largest health plans in the U.S., which gives us a strong foundation as well as the agile flexibility of a startup.
 We make healthcare operations streamlined and seamless, so our customers can focus on care. The practical solutions and support we provide solve real-world",
Circle K Ireland,"Circle K Ireland, part of the global fuel and convenience store brand Circle K, is the leading forecourt and convenience retailer in Ireland. With over 2,400 employees, its retail network is made up of 420 stores across the island of Ireland. Of these locations, 160 are owned by Circle K, 7 are owned by franchise partners and 243 are owned by independent retail partners. With an ambition to grow its offering in Ireland, Circle K recently added 10 high street convenience and food stores in Dublin to its network.",
Coca-Cola Ballina,"Coca-Cola Ballina, formerly known as Ballina Beverages, is a manufacturer of beverage base and concentrate and a leading employer in the West of Ireland with a long track record of investment and innovation at the facility. In January 2023, Coca-Cola Ballina was recognised by the World Economic Forum as one of the world’s most advanced manufacturers and has been added to the WEF Global Lighthouse Network. The site was recognised for its use of Fourth Industrial Revolution (4IR) technologies including",
Coca-Cola HBC,"Coca-Cola HBC is one of the world’s largest bottlers and partner of The Coca-Cola Company. With over 36,000 employees across 29 countries and operating on 3 continents, our mission is to delight the over 715 million consumers in our territories, by offering a choice of over 190 iconic global and favourite local brands in the moments that matter, 24 hours a day, 7 days a week. Our business has a strong heritage on the island of Ireland and has been refreshing local consumers for over 80 years.",
Compass Group Ireland,"Compass Group Ireland are the people behind the most dynamic and rewarding food experiences in the country, with contract catering solutions built on much more than just food. They are powerful partnerships, rooted in trust, and delivered by people who care. Their mission is to make great-tasting food work for Ireland’s greatest businesses, and that’s exactly what they achieve for every client, every day. Compass Group Ireland achieved the Ibec KeepWell Mark accreditation in October 2022",
Córas Iompair Éireann (CIE),"Córas Iompair Éireann (CIÉ) acts as a Holding Company for the CIÉ Group of Companies which incorporates Irish Rail, Dublin Bus, Bus Eireann and CIÉ Tours. While not involved directly in the provision of services to the public, we employ approximately 170 officed based staff across five Dublin city locations. Since the onset of Covid-19 all staff are working remotely. As well as reporting to Government and liaising with the National Transport Authority (NTA), we provide a wide range of professional services",
Cork County Council,"Cork County Council, the largest local authority in the country in geographical area and with a population of 332,255, is the second largest Local Authority nationally, and the largest outside Dublin. The Council has a revenue budget for 2022 of €403m and current staff numbers of approximately 2,650.
 The Council delivers a broad and diverse range of services, including Roads, Motor",
Crowleys DFK,"Crowleys DFK is one of Ireland’s leading firms of Chartered Accountants and Business Advisors. With offices in Dublin and Cork, we have been providing client-focused audit, accountancy, financial advisory, taxation, corporate finance and consulting services for 47 years.We are proud of the reputation and long-term relationships we have built with our clients over the years. They represent a diverse range of today’s most innovative and high-performing industries in the indigenous SME and Foreign Direct Investment",
DeCare,"DeCare is Ireland’s only specialist dental, vision and wellness benefits provider. For over twentytwo years, DeCare has provided dental insurance products, services and wellbeing programmes to our global customer base in Ireland and the United States. Our specialist products and services are delivered by our talented team and have enabled over 400 companies in Ireland to help their staff to look after their oral and general health by lessening costs and increasing health awareness. Globally, DeCare",
Dublin Bus (Bus Átha Cliath),"Bus Átha Cliath is the largest public transport provider in Ireland. Over the last five years we have delivered over 540 million customer journeys across Dublin’s bus network. We have a fleet of over 1,000 buses which follow 121 routes, including ten 24-hour routes and thirteen Nitelinks. We employed an average 3,771 people in 2022, 2,793 of which were bus drivers. Our employees represent 78 different countries. As Ireland’s largest public transport provider, our purpose is to deliver high quality public",
Dublin Simon Community,"Dublin Simon Community provides services to more than 6,000 people in Dublin, Kildare, Wicklow and Meath, Louth, Cavan, Monaghan, who are homeless or at risk of homelessness. Services range from outreach support for people who are rough sleeping, emergency accommodation, treatment, counselling & recovery services for people experiencing addiction issues, long-term supported accommodation, independent housing units, tenancy support & homelessness prevention services,",
Elavon,"People come first at Elavon. Our payments experts deliver tailored and reliable solutions to power the payments of our customers, inspiring them to reach their goals and potential. Together we are stronger, overcoming challenges and connecting your business with a world of customers.
 We’re a top five acquirer in both Europe and the USA, employing 4,000 people across",
Element Six (e6),"Element Six (e6) is a global leader in the design, development and production of synthetic diamond and tungsten carbide advanced material solutions. Part of the De Beers Group, E6’s primary manufacturing sites are located in the UK, Ireland, Germany, South Africa, and the US.
 Since 1959, Element Six’s focus has been on engineering the diamond synthesis",
Electricity Supply Board (ESB),"Electricity Supply Board (ESB) was established in 1927 as a statutory corporation in the Republic of Ireland under the Electricity (Supply) Act 1927. With a holding of 95%, ESB is majority owned by the Irish Government with the remaining 5% held by the trustees of an Employee Share Ownership Plan. As a strong, diversified, vertically integrated utility, ESB operates right across the electricity market: from generation, through transmission and distribution to supply. In addition, ESB extracts further value",
Expleo,"Expleo is Ireland’s leading quality partner for end-to-end digital transformation. We help businesses to harness unrelenting technological change to successfully deliver innovations that will help them gain a competitive advantage. From concept to delivery, our personable people combine the agility, creativity, and proactivity you need to transform your business, with the reliability of experience, knowledge, and best practices specific to your industry.",
Exyte Northern Europe Limited,"Exyte is a global leader in design, engineering and delivery of facilities for high-tech industries. Exyte has operated in Ireland and Northern Ireland since 2000, applying global expertise, technology and engineering excellence to deliver some of the area’s most advanced manufacturing plants, life science and data centre projects.",
Fexco,"Fexco started as a Bureau de Change business in 1981 to meet the needs of customers. Over the years, as regulations, customer needs and technologies changed, Fexco has continued to evolve and has expanded across the globe. New businesses and, in some cases, new industries have been developed by Fexco using technology to solve problems in currency solutions across cash, card and digital payments.",
Fidelity International,"Fidelity International offers investment solutions and services and retirement expertise to more than 2.5 million customers globally. As a privately held, purpose-driven company with a 50-year heritage, we think generationally and invest for the long term. Operating in more than 25 countries and with $706.3 billion in total assets, our clients range from central banks, sovereign wealth funds, large corporates, financial institutions, insurers and wealth managers, to private individuals. Our Workplace &",
Freudenberg Medical,"Freudenberg Medical is a medical technology company focused on developing, designing and manufacturing both sophisticated and niche critical components for minimally invasive medical devices used in diagnostic and therapeutic interventions. We were established in 2006 and since then, have grown steadily with regular expansions to our manufacturing facilities. The Freudenberg Medical team have extensive experience in providing precision solutions to the medical device industry.",
Frylite,"With 30 years’ industry experience and today’s market leader, we know a thing or two about the oil business. But while we know our products and their quality inside out, that’s not what drives our success.
 Today more than 7,000 food industry businesses across Ireland, from local independents to multinational brands, trust us to deliver quality and service, week in,",
Galway Clinic,"Blackrock Health. Galway Clinic, part of the Blackrock Health Group, is the leading provider of private cancer care in the West of Ireland. It has 150 consultants across 60 specialities. The Galway Clinic is also an affiliated teaching hospital to the Royal College of Surgeons in Ireland (RCSI) and University of Galway.
 Galway Clinic introduced Cancer Care services to the West of Ireland and has",
Galway and Roscommon ETB,"Galway and Roscommon ETB provides a wide range of education services across Galway and Roscommon. We cater for a diverse population with different educational, social and cultural needs. We provide educational services to a population of over 324,000 (CSO 2016). These services include community national schools, post- primary schools, further education and training, and community based education programmes and training. GRETB runs and manages Petersburg Outdoor Education",
GE Healthcare Ireland,"GE Healthcare Ireland Limited manufactures injectable diagnostic imaging agents (contrast media) used in Xray and Computed Tomography (CT) procedures around the world. Every second of every day, 365 days a year, our products are used to enhance visualization of organs, blood vessels and tissues across many disease pathways.
 As part of the Pharmaceutical Diagnostics (PDx) business of GE Healthcare, we",
Gilead Sciences,"Gilead Sciences, Inc. is a biopharmaceutical company that has pursued and achieved breakthroughs in medicine for more than three decades, with the goal of creating a healthier world for all people. The company is committed to advancing innovative medicines to prevent and treat life-threatening diseases, including HIV, viral hepatitis and cancer.",
Health Products Regulatory Authority (HPRA),"We are the Health Products Regulatory Authority (HPRA) and we regulate medicines
 and devices for the benefit of people and animals. We are committed to excellence in health product regulation through science, collaboration and innovation.",
HEAnet & EduCampus,"HEAnet CLG, Ireland’s National Education and Research Network, was incorporated in November 1997 and provides Internet connectivity and associated ICT services to education and research organisations throughout Ireland, including all primary and post-primary schools. HEAnet’s vision is enabling Ireland’s digital ambition and its mission is delivering common, repeatable, shareable solutions for all of education. EduCampus Services was set up in April 2015 by the Higher Education Authority as a",
Hilton Foods,"Hilton Food Group’s strategy is to support our customers’ brands and their development in local markets, leading to sustainable growth. This clear and straightforward approach has generated great success and built us a strong reputation for transparency, honesty and agile thinking, backed up with modern and well-invested facilities. What we deliver for our partner is determined by their commercial agenda and their competitive pressures. We dedicate ourselves to fully understanding both. We then design an",
Horse Racing Ireland,"Horse Racing Ireland (HRI) is the national authority for thoroughbred racing in Ireland, with responsibility for the governance, development and promotion of the industry under the Horse and Greyhound Racing Act 2001. At HRI, our vision is to ensure Ireland will be the global leader in Horse Racing and Breeding, sustaining a vibrant and rural industry. Our mission is to develop and promote Ireland’s Horse Racing and Breeding industries to administer and govern the sport of Horse Racing in Ireland, to",
Hovione,"Hovione was founded in Portugal in 1959 with our site in Ringaskiddy operating since 2009. We are a Contract Manufacturing plant offering both drug substance and particle engineering. The site has extensive facilities for drug substance manufacturing and houses the largest commercial pharmaceutical spray dryer available on the global market. Our motto is ‘In It for Life’ - we do well what is difficult, to give our customers what they cannot find elsewhere.",
Ibec,"Ibec is Ireland’s largest and most influential business lobby and representative group, with our members employing over 70% of private sector workers. We believe a strong economy and business climate can help make Ireland a better place to live and work in. Together with our trade associations, we lobby government, policymakers and other key stakeholders with evidenced-based policies designed to positively shape business conditions and drive economic growth.",
"IE DOMAIN REGISTRY CLG, T/A .IE",".IE operates Ireland’s national registry for all Internet addresses ending in .ie. Our purpose is to engage and empower people, communities and businesses across Ireland to thrive online. Good governance is evidenced in our policy development process for the .ie namespace, which follows a bottom up, consensus-driven approach through a multi-stakeholder Policy Advisory Committee. We work with and support SME organisations to improve their members’ online presence and e-commerce",
Indaver,"Indaver leads the field in sustainable waste management in Europe. Our trademark is delivering high quality, cost effective services in the municipal, industrial and specialist hazardous waste markets. We offer Total Waste Management and Waste-to-Energy solutions. Our Waste-to-energy facility in Meath produces electricity to power more than 22,000 homes annually. A new waste-toenergy (WtE) facility is currently under construction in Aberdeen, while work continues to develop other WtE facilities in",
Inland Fisheries Ireland,"Inland Fisheries Ireland is a statutory body operating under the aegis of the Department of Environment, Climate and Communication (DECC) and was established under the Fisheries Act on 1st July 2010. Its principal function is the protection and conservation of the inland fisheries resource. Inland Fisheries Ireland promotes, supports, facilitates and advises the Minister on the conservation, protection, management, development and improvement of inland fisheries, including sea angling. Inland Fisheries Ireland",
Irish Country Meats,"Irish Country Meats is Europe’s leading lamb processor with a reputation for product quality and innovation in all the markets we serve. With modern production facilities in Camolin, Co. Wexford, Navan, Co. Meath and Liège, Belgium we have a market reach covering Europe and further afield. Currently servicing over 30 markets worldwide, the company works in close partnership with our customer base to deliver unrivalled expertise in direct livestock procurement, quality lamb production, cold chain",
Irish Wheelchair Association,"The Irish Wheelchair Association is one of Ireland’s leading organisations for people with physical Disabilities. We provide a nationwide assisted living service, community centres in every county, a fleet of accessible buses, a national parking permit and driving school service, wheelchair accessible social houses and help young people with disabilities to build employability skills and confidence.",
John Sisk & Son (Holdings) Ltd,"John Sisk & Son (Sisk) is an innovative, international, construction and engineering business with long term vision, celebrating over 160 years in operation. Sisk employs approx. 1,900 people and is Ireland’s leading provider of construction services with extensive operations across Ireland, the United Kingdom and mainland Europe.
 Our values are Care, Integrity and Excellence. We take the time to talk to our people,",
Mallinckrodt Pharmaceuticals Ireland Ltd,"Mallinckrodt Pharmaceuticals Ireland Ltd. is a global business that develops, manufactures, markets and distributes specialty pharmaceutical products and therapies. Areas of focus include autoimmune and rare diseases in specialty
 areas like neurology, rheumatology, nephrology, pulmonology and ophthalmology;",
ManpowerGroup Ireland,"ManpowerGroup Global, the leading global workforce solutions company, helps organisations transform in a fast-changing world of work by sourcing, assessing, developing and managing the talent that enables them to win. We develop innovative solutions for thousands of organisations every year, providing them with skilled talent while finding meaningful, sustainable employment for people across a wide range of industries and skills. ManpowerGroup Ireland is a subsidiary of ManpowerGroup",
Merit Medical,"As a global employer, Merit Medical provides immense opportunities to improve the wellbeing ofemployees around the world. In 2019, the position of Chief Wellness Officer (CWO) was added to our C-Suite. As CWO, Nicole Priest, MD, leads Merit Medical’s wellness programs and is making a big difference in the lives of employees not just in Merit Medical Galway but around the world.",
Milford Care Centre,"Milford Care Centre is a voluntary, not-for-profit organisation and a registered charity. It was first established by the Little Company of Mary Sisters in 1928 and now provides Specialist Palliative Care Services and Older Persons Services in the Midwest. The Board of Directors and Management Team oversee the service delivery and fundraising activities. As a voluntary organisation we work in partnership with the HSE and the Specialist Palliative Care services are currently 75% funded by the HSE. Fundraising",
Mitie Ireland,"Mitie Ireland is a total facilities management company which forms part of Mitie Group, established in Ireland in 2010. Mitie have an extensive self-perform capability with extremely talented and experienced people, across the island of Ireland. The core services provided by Mitie are electrical, mechanical and fabric maintenance and repair, asset management, cleaning, industrial cleaning, security, project management, 24/7/365 service desk and consultancy services relating to sustainability/energy and",
Munich Re Automation Solutions Limited,"Munich Re Automation Solutions is the Irish subsidiary of Munich Re, Germany. We’ve been at the forefront of the digital revolution in the insurance industry for over 30 years and have grown to become one of the most successful providers of automated life
 insurance solutions globally and enjoys the highest levels of customer satisfaction",
National Cancer Registry Ireland,"The National Cancer Registry Ireland (NCRI) is a publicly appointed body, established in 1991, to collect and classify information on all cancer cases which occur in Ireland. Our activities include - collecting information on all new cancer cases in Ireland, monitoring trends and outcomes in different cancer types, promoting the use of the information we collect in research and in the planning and management of services, and publishing an annual report on cancer statistics. Cancer registration in the",
National College of Ireland,"National College of Ireland is a not-for-profit, third-level institution, with 6,500 students across its key areas of human relations, business, computing, education and psychology. The College’s internationally recognised programmes are delivered full-time and part-time, and accredited through QQI. NCI also has strong relationships with many professional bodies, such as CIPD and ACCA. Responsive to the needs of employers, NCI has an award-winning Careers team and a consistently high graduate",
"Nestle Development Centre, Nutrition, Askeaton","At Nestlé, we believe in the power of food to enhance quality of life for everyone. Guided by this purpose, we constantly aim to push the boundaries of what’s possible with food, beverages, and nutritional health solutions.",
Northern Trust,"Northern Trust has serviced Irish clients since 1989, setting-up its Dublin office in 2000. Today, it is one of Ireland’s largest fund administrators and custodians, supporting sophisticated global investors across a full spectrum of asset classes and strategies.
 Northern Trust in Ireland provides fund administration, global custody, depositary and middle office services to fund managers and institutional investors worldwide, including",
Oberstown Children Detention Campus,"Oberstown Children Detention Campus (Oberstown) is Ireland’s national centre for the detention, care and education of young people aged up to 18 years referred by the courts on detention or remand orders. Established under the Children Act 2001, the Campus provides individualised care to young people through an integrated multi- professional approach that enables young people to address their offending behaviour and return successfully to society.",
O’Connor Sutton Cronin (OCSC),"O’Connor Sutton Cronin (OCSC) is Ireland’s leading indigenous multidisciplinary Consulting Engineering Group, with offices in Dublin, Cork, Galway, Belfast, London and Birmingham. Our success is founded on a reputation for providing award winning design creativity, excellence and cost effective solutions. Best international experience combines with local knowledge in a professional, friendly, ‘can do’ attitude. Increasingly, we understand that OCSC is a people business and we put people at the",
Oracle EMEA Limited,"Oracle is a cloud technology company that provides organizations around the world with computing infrastructure and software to help them innovate, unlock efficiencies and become more effective. We also created the world’s first – and only – autonomous database to help organize and secure our customers’ data. Oracle Cloud Infrastructure offers higher performance, security, and cost savings.It is designed so businesses can move workloads easily from on-premises systems to the cloud, and between cloud",
Ornua,"Ornua is a dairy co-operative which markets and sells dairy products on behalf of its members; Ireland’s dairy processors and, in turn, Irish dairy farmers. Ornua is Ireland’s largest exporter of Irish dairy products, exporting to 110 countries worldwide. Headquartered in Dublin, it has annualised sales of over €2.5 billion and a global team of 3,000 employees and has sales and marketing teams working in-market across all four corners of the globe.",
Quality and Qualifications Ireland (QQI),"Quality and Qualifications Ireland (QQI) is the independent State agency responsible for promoting quality and accountability in education and training services in Ireland. Our work supports public confidence in the quality of education and training, promotes trust in the National Framework of Qualifications and drives a culture of continuous improvement by education and training providers. We are committed to working enthusiastically and purposefully towards a vision of Ireland that offers extensive",
Our McDonald’s,"Samben ltd T/A ‘Our McDonald’s’ is made up of seven restaurants from counties Kilkenny, Tipperary,Waterford, and Cork. Our mission statement is “Growing Better Together”; better employee experiences, better customer experiences and making our communities better. At Our McDonald’swe operate based on five core values: Honesty, Integrity, Respect, Empathy and Diversity, orH.I.R.E.D., these values guide us in everything we do at Our McDonald’s. Our passion is our people.",
Pfizer GBS Dublin,"In 2003, Pfizer established its EMEA GBS function, Pfizer GBS Dublin, which now employs approximately 500 colleagues. Today we are the largest Strategic Financial Shared Services centre and the largest industry-based employer of Chartered Accountants in Ireland.
 Our colleague groups such as the Sports & Social and Health & Wellbeing teams have",
RCSI University of Medicine and Health Sciences,"RCSI University of Medicine and Health Sciences is a higher education institution and the professional training body for surgery in Ireland. Founded by Charter in 1784, RCSI continues to set and support professional standards for surgical & emergency medicine
 training and practice in Ireland with over 560 trainees on our register in 2022/23. The",
Ronan Daly Jermyn LLP,"At RDJ, we embrace human intelligence, the most diverse views and progressive practices to create a workplace that reflects the diversity of our clients and the communities we are part of.
 As one of Ireland’s leading corporate law firms, we’re as ambitious for your business as you are. With offices in Cork, Dublin, Galway and London, we represent clients",
